Country,Issuer,Denomination,Subject,Krause Number,Year,Mintmark,Grade,"Value, USD (CoinSnap) ",Composition,Obverse photo,Reverse photo,Value (MY),Note,Custom set
Türkiye,Turkey,2500 lira,Common series,KM# 1015,1991,No mintmark,XF,$ 0.47,Nickel-Brass,https://static.coinidentifierai.com/app/prod/recognize/subject_side/1025840847/306a2d32-1419-45ad-9d44-3a0fdc635ce7.png,https://static.coinidentifierai.com/app/prod/recognize/denomination_side/1025840847/9c674031-b763-4cd4-bb5a-8f3fa4b9eb66.png,,test note,
Türkiye,Turkey,25000 lira,Common series,KM# 1041,1996,No mintmark,AU,$ 0.67,Copper-Zinc-Nickel,https://static.coinidentifierai.com/app/prod/recognize/subject_side/1025840847/9a525deb-f19b-4cce-828a-a9a4109aaf61.png,https://static.coinidentifierai.com/app/prod/recognize/denomination_side/1025840847/e986ca1c-4862-44a2-82e6-976c21fa10f9.png,,,
Türkiye,Turkey,25000 lira,Common series,KM# 1041,1998,No mintmark,AU,$ 0.36,Copper-Zinc-Nickel,https://static.coinidentifierai.com/app/prod/recognize/subject_side/1025840847/fe207419-ec9f-4e62-8939-52df8b216867.png,https://static.coinidentifierai.com/app/prod/recognize/denomination_side/1025840847/b198bb3f-ad7d-4e2a-8297-89b9c27fc80b.png,,,
Tunisia,Tunisia,5 millimes,Common series,KM# 282,1996,No mintmark,AU,$ 0.35,Aluminium,https://static.coinidentifierai.com/app/prod/recognize/subject_side/1025840847/8f7624a2-d283-49ca-9aac-c787de0b08a3.png,https://static.coinidentifierai.com/app/prod/recognize/denomination_side/1025840847/a47fac0a-fd5e-4a2a-9639-7642ade42084.png,,,
Tunisia,Tunisia,20 millimes,Common series,KM# 307,1993,No mintmark,XF,$ 0.24,Brass,https://static.coinidentifierai.com/app/prod/recognize/subject_side/1025840847/41517637-4bf0-4d1c-bb1e-146a973ea1a8.png,https://static.coinidentifierai.com/app/prod/recognize/denomination_side/1025840847/ad0aa9f0-9b7e-4c5d-a719-d576aa3e8895.png,,,
Tunisia,Tunisia,50 millimes,Common series,KM# 308,1996,No mintmark,XF,$ 0.34,Brass,https://static.coinidentifierai.com/app/prod/recognize/subject_side/1025840847/12fd3b81-013a-43a6-832a-040f82debf0b.png,https://static.coinidentifierai.com/app/prod/recognize/denomination_side/1025840847/fced2252-4ea8-4638-b38b-e311c5b7c139.png,,,
Tunisia,Tunisia,100 millimes,Common series,KM# 309,1996,No mintmark,XF,$ 0.18,Brass,https://static.coinidentifierai.com/app/prod/recognize/subject_side/1025840847/d3a724d3-c9bd-4ba2-8903-0ce491280199.png,https://static.coinidentifierai.com/app/prod/recognize/denomination_side/1025840847/72c3ece3-9961-4eb8-898c-dba6dc0bf840.png,,,
Israel,Israel,10 agorot,Common series,KM# 158,1991,No mintmark,XF,$ 0.23,Aluminium-Bronze,https://static.coinidentifierai.com/app/prod/recognize/subject_side/1025840847/dcfd492d-aa5e-4943-bc57-79ee93d4f59e.png,https://static.coinidentifierai.com/app/prod/recognize/denomination_side/1025840847/e45275ee-7c1e-41f6-be1d-df0d3d009b56.png,,,
Türkiye,Turkey,50000 lira,Common series,KM# 1056,1998,No mintmark,VF,$ 0.28,Copper-Zinc-Nickel,https://static.coinidentifierai.com/app/prod/recognize/subject_side/1025840847/2059bfee-c9d9-4c73-82e1-6dc94801a0f5.png,https://static.coinidentifierai.com/app/prod/recognize/denomination_side/1025840847/124a31dc-5bbc-44ec-b65e-ad57fb2ed350.png,,,
Luxembourg,Luxembourg,1 franc,Common series,KM# 55,1970,No mintmark,XF,$ 0.28,Copper-Nickel,https://static.coinidentifierai.com/app/prod/recognize/subject_side/1025840847/f3f7f210-422b-4439-a079-fdf56d9bc825.png,https://static.coinidentifierai.com/app/prod/recognize/denomination_side/1025840847/b5cbaa00-39e2-4391-bcd8-fa9326f58530.png,,,
Luxembourg,Luxembourg,1 franc,Common series,KM# 46.2,1960,No mintmark,AU,$ 0.32,Copper-Nickel,https://static.coinidentifierai.com/app/prod/recognize/subject_side/1025840847/4c4e0d1d-eada-4965-99dd-a4be999379d3.png,https://static.coinidentifierai.com/app/prod/recognize/denomination_side/1025840847/93d858af-cbc5-42f5-bcf7-31152ffdada5.png,,,
Luxembourg,Luxembourg,1 franc,Common series,KM# 46.1,1946,No mintmark,XF,$ 0.58,Copper-Nickel,https://static.coinidentifierai.com/app/prod/recognize/subject_side/1025840847/d9be89f8-793e-46d4-8f4f-b448b3027a3a.png,https://static.coinidentifierai.com/app/prod/recognize/denomination_side/1025840847/d8a5f860-2774-4bd0-9820-3b0af8a01e7b.png,,,
Luxembourg,Luxembourg,1 franc,Common series,KM# 46.2,1952,No mintmark,XF,$ 0.23,Copper-Nickel,https://static.coinidentifierai.com/app/prod/recognize/subject_side/1025840847/d20154e3-7314-4e00-9e2b-38ed54c6ca49.png,https://static.coinidentifierai.com/app/prod/recognize/denomination_side/1025840847/803d05d2-52b5-4b76-8ae8-d1a2e21118a2.png,,,
Luxembourg,Luxembourg,1 franc,Common series,KM# 46.2,1964,No mintmark,XF,$ 0.48,Copper-Nickel,https://static.coinidentifierai.com/app/prod/recognize/subject_side/1025840847/12407afc-518f-46d3-8ff7-7754730b3e1b.png,https://static.coinidentifierai.com/app/prod/recognize/denomination_side/1025840847/7125c430-4b34-4730-8623-b89aa6067d6f.png,,,
Luxembourg,Luxembourg,1 franc,Common series,KM# 55,1978,No mintmark,AU,$ 0.29,Copper-Nickel,https://static.coinidentifierai.com/app/prod/recognize/subject_side/1025840847/2351d387-a49e-4942-b2b9-9003d3e41929.png,https://static.coinidentifierai.com/app/prod/recognize/denomination_side/1025840847/7808345c-6c57-447a-8f50-4e67b0cbc236.png,,,
Luxembourg,Luxembourg,1 franc,Common series,KM# 55,1976,No mintmark,AU,$ 0.21,Copper-Nickel,https://static.coinidentifierai.com/app/prod/recognize/subject_side/1025840847/35aab4ff-c3f0-4bd7-b794-ff4b48ea9f18.png,https://static.coinidentifierai.com/app/prod/recognize/denomination_side/1025840847/83efd949-aac1-4ce5-b5b3-35a970644a07.png,,,
Luxembourg,Luxembourg,1 franc,Common series,KM# 35,1935,No mintmark,AU,$ 3.67,Nickel,https://static.coinidentifierai.com/app/prod/recognize/subject_side/1025840847/950d8115-e839-4fa0-91f1-6b1e33193fec.png,https://static.coinidentifierai.com/app/prod/recognize/denomination_side/1025840847/2d1a97cb-e4da-4599-9a33-a7110eb862f1.png,,,
Singapore,Singapore,1 cent,Common series,KM# 98,1996,No mintmark,AU,$ 0.65,Copper plated zinc,https://static.coinidentifierai.com/app/prod/recognize/subject_side/1025840847/44fd9170-8194-4d4c-bd86-ba7a94583739.png,https://static.coinidentifierai.com/app/prod/recognize/denomination_side/1025840847/c1e0a8a0-49c9-455b-b3ea-03dfad7ebbca.png,,,
